Datasheet 3: Test Dataset,,,
,,,
smiles,DD2,,
Cn1cnnc1C1CCCCN1C(=O)CN1CCC2(CCCCc3ccccc3OCCCNC2=O)CC1,0,,
C[C@H]1C(=O)NCCOc2ccccc2C(=O)N[C@H](C(=O)NCCCc2ccccc2)CCC(=O)N1C,0,,
Cc1noc(C2CCCN2C(=O)CN2CCC3(CCCCc4ccccc4OCCCNC3=O)CC2)n1,0,,"

"
CC(=O)N1CCCN(Cc2ccccc2)CCN(C(=O)c2ccccc2F)Cc2cc(F)c(F)cc21,0,,
CC(C)c1ccc(CN2CCOCCOc3ccc(-c4cncnc4)cc3Cc3cccc(c3)C2)cc1,0,,
CC(C)Oc1ccc(C(C)NC(=O)CN2CCC3(CCCCc4ccccc4OCCCNC3=O)CC2)cc1,0,,
CC(C)n1cc(CN2CCC3(CCCCc4ccccc4OCCNC(=O)[C@H](C)NC3=O)CC2)c2ccccc21,0,,
O=C(c1ccc(F)c(Cl)c1)N1CCOC2(CCCCc3ccccc3OCCNC2=O)C1,0,,
CC(=O)N1CCCCCCCCN(C2CCN(C(=O)CCn3ccc(C(F)(F)F)n3)CC2)Cc2ccccc21,0,,
CCCCN1CCOc2ccccc2CCCCC2(CN(C(=O)COCC)CCO2)C1=O,0,,
O=C(CN1CCC2(CCCCc3ccccc3OCCCNC2=O)CC1)NCc1nnc2n1CCCCC2,0,,
NCCCC[C@@H](N)C(=O)N1CCC2(CCCCCc3ccccc3OCCNC2=O)CC1,0,,
CC(C)Cc1cc(CNC(=O)CN2CCC3(CCCCc4ccccc4OCCCNC3=O)CC2)on1,0,,
COc1cccc(CN2CCCN(C(C)=O)c3ccccc3CN(C(=O)CC[C@H](N)C(N)=O)CC2)c1,0,,
Fc1cccc(CN2CCOCCOc3ccc(-c4cncnc4)cc3Cc3cccc(c3)C2)c1,0,,
Cc1ccc(C2CCCN(C(=O)CN3CCC4(CCCCc5ccccc5OCCCNC4=O)CC3)C2)nc1,0,,
C[C@@H]1NC(=O)C2(CCCCc3ccccc3OCCNC1=O)CCN(Cc1ccc(Cn3cccn3)cc1)CC2,0,,
Cc1nn(C)cc1CCC(=O)N1CCOCCOc2ccc(-c3cccnc3)cc2Cc2cccc(c2)C1,0,,
Cc1c(C(=O)N2CCC3(CCCCc4ccccc4OCCN(C)C3=O)CC2)cccc1N1CCCC1,0,,
CCCCN1CCOc2ccccc2CCCCC2(CN(C(=O)CCOC)CCO2)C1=O,0,,
O=C(Cn1cccc(C(=O)NCCN2CCC3(CCCCc4ccccc4OCCNC3=O)CC2)c1=O)NC1CCCCC1,0,,
CC[C@H](N)C(=O)N1CCN(Cc2ccc(F)cc2)CCCN(C(C)=O)c2ccccc2C1,1,,
O=C(CN1CCC2(CCCCc3ccccc3OCCCNC2=O)CC1)N1CCCC1c1cc[nH]n1,0,,
COCC(=O)N1CCCCCCCCN(C(=O)c2ccc(OCCN3CCCCC3)cc2)Cc2ccccc21,0,,
O=C(CN1CCC2(CCCCc3ccccc3OCCCNC2=O)CC1)N1CCCCC1c1cnccn1,0,,
